,total_trades,profitable_trades,losing_trades,win_rate,total_profit,avg_profit_per_trade,max_profit,max_loss,profit_factor
Extreme Greed,39992.0,18594.0,21398.0,0.46494298859771954,2715171.3106730003,67.89286133909283,44223.45187,-10259.468,11.022783278248014
Extreme Fear,21400.0,7931.0,13469.0,0.370607476635514,739110.2484899999,34.53786207897196,115287.0,-31036.69194,2.1615357233166548
Fear,61837.0,26019.0,35818.0,0.42076750165758364,3357155.441642,54.2903996254993,135329.0901,-35681.74723,6.655644032349053
Greed,50309.0,19364.0,30945.0,0.3849013099047884,2192601.267081,43.582684352322644,74530.52371,-117990.1041,3.0710592514860395
Neutral,37686.0,14961.0,22725.0,0.3969909250119408,1292920.67555,34.30771839807886,48504.09555,-24500.0,4.321264581464444
