,total_trades,profitable_trades,losing_trades,win_rate,total_profit,avg_profit_per_trade,max_profit,max_loss,profit_factor
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,563.0,230.0,333.0,0.40852575488454707,67845.619531,120.50731710657195,7047.857251,0.0,inf
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,1430.0,438.0,992.0,0.3062937062937063,403011.504159,281.8262266846154,27223.7415,-3968.95225,10.274501955259113
0x513b8629fe877bb581bf244e326a047b249c4ff1,12236.0,4909.0,7327.0,0.40119320039228507,840422.555216,68.68441935403726,19530.5225,-29370.1198,5.902045349745262
0x083384f897ee0f19899168e3b1bec365f52a9012,3818.0,1373.0,2445.0,0.3596123624934521,1600229.819979,419.1277684596647,135329.0901,-117990.1041,4.708739012601688
0x430f09841d65beb3f27765503d0f850b8bce7713,1237.0,599.0,638.0,0.48423605497170574,416541.872341,336.735547567502,29999.90625,0.0,inf
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1911.0,631.0,1280.0,0.33019361590790164,65513.65790600001,34.282395555206705,8424.257062,-1457.7349,12.641428628626457
0x4f93fead39b70a1824f981a54d4e55b278e9f760,7584.0,2733.0,4851.0,0.3603639240506329,308975.869716,40.740489150316456,8098.26873,-21524.4,2.432098602345393
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9893.0,8022.0,1871.0,0.8108763772364298,379095.406711,38.3195599627009,5949.806984,-5843.04,8.604446854939278
0x420ab45e0bd8863569a5efbb9c05d91f40624641,383.0,90.0,293.0,0.2349869451697128,199505.59273200002,520.9023308929504,25997.375,0.0,inf
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14733.0,4967.0,9766.0,0.3371343243059798,2143382.597689,145.48174829898866,48504.09555,-5028.066368,36.095615743551
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,7280.0,3223.0,4057.0,0.4427197802197802,47885.32051399999,6.577653916758241,4037.871978,-6820.76955,2.110680680780769
0x6d6a4b953f202f8df5bed40692e7fd865318264a,975.0,421.0,554.0,0.4317948717948718,108731.216772,111.51919668923077,9503.355131,-60.5786,1162.6261555583023
0xbaaaf6571ab7d571043ff1e313a9609a10637864,21192.0,9909.0,11283.0,0.46758210645526616,940163.8062199999,44.36409051623254,68959.00212,-5.444032,27208.369846921258
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,534.0,172.0,362.0,0.32209737827715357,21758.831753000002,40.74687594194757,4005.321,-540.253351,6.63440900816173
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,815.0,371.0,444.0,0.45521472392638035,-31203.599986000005,-38.28662574969326,6672.970248,-5981.36399,0.6207601580161629
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,15605.0,5396.0,10209.0,0.3457866068567767,106302.875256,6.81210350887536,2148.534516,-7104.920076,11.471318148407192
0x8477e447846c758f5a675856001ea72298fd9cb5,14998.0,3929.0,11069.0,0.26196826243499133,43917.008976000005,2.9281910238698496,2766.443472,-2806.5,1.6330180218206147
0x8170715b3b381dffb7062c0298972d4727a0a63b,4601.0,1761.0,2840.0,0.38274288198217776,-167621.12478099996,-36.431455070854156,8143.080742,-83056.32,0.657741578049113
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,8519.0,3011.0,5508.0,0.35344524005164923,103343.716161,12.130967972884141,2077.855821,-1388.851115,3.5103038328556604
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,332.0,158.0,174.0,0.4759036144578313,53496.247243000005,161.13327482831326,20665.89598,0.0,inf
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,13311.0,5838.0,7473.0,0.43858462925400044,132464.814554,9.951529904139434,4396.862703,-7784.162915,4.410181133451602
0x39cef799f8b69da1995852eea189df24eb5cae3c,3589.0,1176.0,2413.0,0.32766787405962666,14456.919335999999,4.02811906826414,7322.017,-31036.69194,1.0650644957231346
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,1559.0,705.0,854.0,0.45221295702373315,14900.443047,9.557692781911483,1261.448002,-776.860259,7.440123791525199
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,417.0,239.0,178.0,0.5731414868105515,72846.484272,174.6918088057554,13404.23882,-10309.40032,5.095726132351362
0xb899e522b5715391ae1d4f137653e7906c5e2115,4838.0,2122.0,2716.0,0.4386109962794543,22488.500821,4.648305254443986,7066.554924,-17178.87662,1.2414583601225258
0x2c229d22b100a7beb69122eed721cee9b24011dd,3239.0,1684.0,1555.0,0.5199135535659154,168658.00499400002,52.071011112689106,6608.942866,-996.7456,14.959188362980711
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,40184.0,17208.0,22976.0,0.428230141349791,836080.553077,20.806304824731235,22883.51252,-22634.46345,3.8624766240981994
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,4356.0,2118.0,2238.0,0.48622589531680444,677747.0506429999,155.58931373806243,16305.57609,-6169.375076,52.80460926288537
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,3052.0,871.0,2181.0,0.2853866317169069,126578.942134,41.47409637418087,5058.162,-103.55,191.40172481457287
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2641.0,865.0,1776.0,0.32752745172283226,220519.06185300002,83.49831952025748,32783.52937,-24500.0,1.6521954150293017
0x271b280974205ca63b716753467d5a371de622ab,3809.0,1150.0,2659.0,0.3019165135206091,-70436.191318,-18.49204287687057,1584.342755,-25818.75012,0.47190160933400305
