,Closed PnL,Size USD,value,Side
Closed PnL,1.0,0.3254469665240966,-0.08220878456042802,-0.06518653093684654
Size USD,0.3254469665240966,1.0,-0.2647270643006727,-0.014665937271543172
value,-0.08220878456042802,-0.2647270643006727,1.0,-0.04678186781856857
Side,-0.06518653093684654,-0.014665937271543172,-0.04678186781856857,1.0
